# cell_size_um=30.0, domain_size_um=1500.0, description="Spheroid pattern with 1000 cells, indices recentered (-12,-12) for 30 um cell height"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
26,11,Proliferation,true,true,true
24,41,Proliferation,true,false,false
14,18,Growth_Arrest,false,true,true
14,27,Proliferation,true,true,false
36,24,Proliferation,true,true,false
17,20,Proliferation,true,true,false
36,33,Growth_Arrest,false,true,false
28,29,Proliferation,true,true,true
17,29,Growth_Arrest,false,true,true
9,25,Proliferation,true,false,false
28,38,Growth_Arrest,false,false,false
17,38,Growth_Arrest,false,true,false
29,12,Growth_Arrest,false,false,false
21,8,Proliferation,true,false,true
29,21,Proliferation,true,true,true
40,21,Proliferation,true,true,true
21,17,Proliferation,true,true,true
32,17,Proliferation,true,true,false
29,30,Proliferation,true,false,true
40,30,Growth_Arrest,false,true,true
13,13,Growth_Arrest,false,false,false
21,26,Proliferation,true,false,false
32,26,Proliferation,true,true,true
29,39,Proliferation,true,true,false
13,22,Growth_Arrest,false,true,false
21,35,Proliferation,true,false,true
32,35,Proliferation,true,true,false
13,31,Proliferation,true,false,false
22,9,Proliferation,true,true,false
41,22,Proliferation,true,true,true
22,18,Proliferation,true,false,false
33,18,Proliferation,true,true,true
10,16,Growth_Arrest,false,false,false
25,14,Growth_Arrest,false,true,false
10,25,Proliferation,true,false,true
25,23,Proliferation,true,true,true
10,34,Proliferation,true,false,false
24,36,Proliferation,true,false,true
35,36,Growth_Arrest,false,false,true
14,13,Proliferation,true,false,true
36,19,Growth_Arrest,false,false,false
28,15,Proliferation,true,true,true
17,15,Proliferation,true,false,false
36,28,Growth_Arrest,false,true,true
28,24,Growth_Arrest,false,false,true
17,24,Proliferation,true,true,false
36,37,Growth_Arrest,false,true,true
9,20,Proliferation,true,true,false
28,33,Proliferation,true,true,false
17,33,Growth_Arrest,false,true,true
9,29,Growth_Arrest,false,false,true
28,42,Proliferation,true,true,true
29,16,Proliferation,true,false,true
40,16,Proliferation,true,true,false
21,12,Proliferation,true,false,false
32,12,Proliferation,true,true,false
29,25,Proliferation,true,true,false
40,25,Proliferation,true,true,false
21,21,Growth_Arrest,false,true,true
32,21,Proliferation,true,true,true
40,34,Growth_Arrest,false,false,false
13,17,Proliferation,true,true,true
21,30,Growth_Arrest,false,true,true
32,30,Proliferation,true,true,true
13,26,Proliferation,true,false,true
32,39,Growth_Arrest,false,false,true
13,35,Growth_Arrest,false,false,false
22,13,Growth_Arrest,false,false,true
33,13,Proliferation,true,true,true
25,9,Proliferation,true,true,false
10,20,Proliferation,true,false,true
25,18,Proliferation,true,false,false
43,26,Proliferation,true,false,true
24,22,Proliferation,true,false,false
35,22,Proliferation,true,false,true
24,31,Proliferation,true,false,false
35,31,Proliferation,true,false,true
16,27,Proliferation,true,false,false
24,40,Proliferation,true,true,false
35,40,Proliferation,true,false,false
16,36,Proliferation,true,false,false
36,14,Growth_Arrest,false,true,false
28,10,Proliferation,true,true,false
17,10,Proliferation,true,true,false
36,23,Proliferation,true,true,false
28,19,Growth_Arrest,false,true,true
17,19,Proliferation,true,false,false
36,32,Growth_Arrest,false,true,true
28,28,Growth_Arrest,false,false,false
