# origin=center, cell_size_um=20.0, domain_size_um=1500.0, description="Spheroid pattern with 100 cells"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
0,0,Proliferation,true,true,true
-1,0,Growth_Arrest,false,true,false
0,-1,Proliferation,true,false,false
0,1,Proliferation,true,false,true
1,0,Proliferation,true,true,false
-1,-1,Proliferation,true,false,true
-1,1,Growth_Arrest,false,false,true
1,-1,Growth_Arrest,false,true,true
1,1,Proliferation,true,false,true
-2,0,Proliferation,true,true,false
0,-2,Proliferation,true,true,true
0,2,Proliferation,true,false,false
2,0,Proliferation,true,false,false
-2,-1,Growth_Arrest,false,false,true
-2,1,Proliferation,true,false,false
-1,-2,Growth_Arrest,false,true,false
-1,2,Proliferation,true,true,false
1,-2,Growth_Arrest,false,false,false
1,2,Growth_Arrest,false,false,true
2,-1,Proliferation,true,false,false
2,1,Proliferation,true,false,false
-2,-2,Proliferation,true,true,true
-2,2,Proliferation,true,true,false
2,-2,Proliferation,true,false,true
2,2,Proliferation,true,false,true
-3,0,Proliferation,true,false,false
0,-3,Growth_Arrest,false,false,false
0,3,Proliferation,true,true,true
3,0,Growth_Arrest,false,true,false
-3,-1,Growth_Arrest,false,false,false
-3,1,Growth_Arrest,false,false,true
-1,-3,Proliferation,true,true,true
-1,3,Proliferation,true,true,false
1,-3,Proliferation,true,true,false
1,3,Proliferation,true,true,false
3,-1,Growth_Arrest,false,true,false
3,1,Proliferation,true,true,false
-3,-2,Proliferation,true,true,false
-3,2,Growth_Arrest,false,true,false
-2,-3,Proliferation,true,true,true
-2,3,Proliferation,true,true,false
2,-3,Growth_Arrest,false,false,false
2,3,Proliferation,true,false,false
3,-2,Proliferation,true,true,true
3,2,Proliferation,true,false,true
-4,0,Growth_Arrest,false,true,false
0,-4,Proliferation,true,true,true
0,4,Growth_Arrest,false,false,false
4,0,Proliferation,true,true,true
-4,-1,Proliferation,true,false,false
-4,1,Growth_Arrest,false,false,true
-1,-4,Growth_Arrest,false,true,false
-1,4,Proliferation,true,false,false
1,-4,Growth_Arrest,false,false,false
1,4,Proliferation,true,false,false
4,-1,Growth_Arrest,false,true,false
4,1,Proliferation,true,true,true
-3,-3,Proliferation,true,false,true
-3,3,Proliferation,true,true,false
3,-3,Proliferation,true,true,true
3,3,Proliferation,true,false,true
-4,-2,Proliferation,true,false,true
-4,2,Proliferation,true,true,false
-2,-4,Proliferation,true,true,true
-2,4,Growth_Arrest,false,true,false
2,-4,Proliferation,true,true,true
2,4,Proliferation,true,false,false
4,-2,Proliferation,true,false,true
4,2,Proliferation,true,true,false
-5,0,Proliferation,true,true,false
-4,-3,Growth_Arrest,false,false,true
-4,3,Proliferation,true,false,false
-3,-4,Proliferation,true,true,true
-3,4,Growth_Arrest,false,true,false
0,-5,Proliferation,true,true,true
0,5,Growth_Arrest,false,true,true
3,-4,Growth_Arrest,false,false,true
3,4,Growth_Arrest,false,false,true
4,-3,Proliferation,true,false,false
4,3,Proliferation,true,true,false
5,0,Proliferation,true,false,false
-5,-1,Proliferation,true,true,true
-5,1,Growth_Arrest,false,true,false
-1,-5,Proliferation,true,false,false
-1,5,Proliferation,true,true,true
1,-5,Growth_Arrest,false,true,true
1,5,Proliferation,true,false,false
5,-1,Proliferation,true,false,false
5,1,Growth_Arrest,false,true,false
-5,-2,Proliferation,true,true,false
-5,2,Proliferation,true,true,false
-2,-5,Proliferation,true,true,true
-2,5,Proliferation,true,false,true
2,-5,Growth_Arrest,false,true,false
2,5,Proliferation,true,false,false
5,-2,Growth_Arrest,false,false,false
5,2,Proliferation,true,false,false
-4,-4,Growth_Arrest,false,false,false
-4,4,Proliferation,true,true,true
4,-4,Proliferation,true,false,false
