# origin=center, cell_size_um=20.0, domain_size_um=3000.0, description="Spheroid pattern with 100 cells (centre of mass exactly at the domain centre)"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
0,-1,Proliferation,true,false,true
-1,0,Proliferation,true,true,true
0,0,Proliferation,true,false,false
-1,-1,Proliferation,true,false,true
0,-2,Proliferation,true,true,true
-1,1,Proliferation,true,false,true
1,-1,Proliferation,true,true,false
-2,0,Proliferation,true,false,false
1,0,Proliferation,true,false,true
-2,-1,Proliferation,true,false,false
0,1,Proliferation,true,true,false
-1,-2,Proliferation,true,false,false
1,-2,Growth_Arrest,false,false,true
-2,1,Growth_Arrest,false,false,true
1,1,Growth_Arrest,false,true,false
-2,-2,Growth_Arrest,false,true,false
0,-3,Growth_Arrest,false,false,true
-1,2,Growth_Arrest,false,true,true
2,-1,Growth_Arrest,false,false,false
-3,0,Growth_Arrest,false,true,false
2,0,Growth_Arrest,false,false,false
-3,-1,Growth_Arrest,false,false,true
0,2,Growth_Arrest,false,false,true
-1,-3,Growth_Arrest,false,false,true
1,-3,Growth_Arrest,false,true,false
-2,2,Growth_Arrest,false,true,true
2,-2,Growth_Arrest,false,true,true
-3,1,Growth_Arrest,false,true,true
2,1,Growth_Arrest,false,false,false
-3,-2,Growth_Arrest,false,false,false
1,2,Growth_Arrest,false,false,false
-2,-3,Growth_Arrest,false,true,false
0,-4,Growth_Arrest,false,false,true
-1,3,Growth_Arrest,false,false,true
2,-3,Growth_Arrest,false,false,true
-3,2,Growth_Arrest,false,true,false
3,-1,Growth_Arrest,false,false,true
-4,0,Growth_Arrest,false,true,true
3,0,Growth_Arrest,false,true,false
-4,-1,Growth_Arrest,false,false,false
2,2,Growth_Arrest,false,true,true
-3,-3,Growth_Arrest,false,false,false
0,3,Growth_Arrest,false,false,false
-1,-4,Growth_Arrest,false,true,true
1,-4,Growth_Arrest,false,true,false
-2,3,Growth_Arrest,false,false,true
3,-2,Growth_Arrest,false,true,true
-4,1,Growth_Arrest,false,true,false
3,1,Growth_Arrest,false,true,false
-4,-2,Growth_Arrest,false,false,false
1,3,Growth_Arrest,false,false,true
-2,-4,Growth_Arrest,false,false,true
2,-4,Growth_Arrest,false,true,false
-3,3,Growth_Arrest,false,false,true
3,-3,Growth_Arrest,false,false,false
-4,2,Growth_Arrest,false,false,false
3,2,Growth_Arrest,false,true,true
-4,-3,Growth_Arrest,false,true,true
2,3,Growth_Arrest,false,true,false
-3,-4,Growth_Arrest,false,true,true
0,-5,Growth_Arrest,false,true,true
-1,4,Growth_Arrest,false,false,false
4,-1,Growth_Arrest,false,false,false
-5,0,Growth_Arrest,false,true,true
4,0,Growth_Arrest,false,false,true
-5,-1,Growth_Arrest,false,false,false
0,4,Growth_Arrest,false,false,false
-1,-5,Growth_Arrest,false,true,false
1,-5,Growth_Arrest,false,true,true
-2,4,Growth_Arrest,false,false,true
4,-2,Growth_Arrest,false,true,false
-5,1,Growth_Arrest,false,false,false
4,1,Growth_Arrest,false,false,false
-5,-2,Growth_Arrest,false,true,true
1,4,Growth_Arrest,false,false,false
-2,-5,Growth_Arrest,false,true,false
3,-4,Growth_Arrest,false,false,false
-4,3,Growth_Arrest,false,true,false
3,3,Growth_Arrest,false,true,true
-4,-4,Growth_Arrest,false,false,true
2,-5,Growth_Arrest,false,false,true
-3,4,Growth_Arrest,false,true,true
4,-3,Growth_Arrest,false,false,true
-5,2,Growth_Arrest,false,false,false
4,2,Growth_Arrest,false,false,true
-5,-3,Growth_Arrest,false,true,false
2,4,Growth_Arrest,false,true,false
-3,-5,Growth_Arrest,false,true,false
0,-6,Growth_Arrest,false,true,false
-1,5,Growth_Arrest,false,true,false
5,-1,Growth_Arrest,false,false,false
-6,0,Growth_Arrest,false,true,true
5,0,Growth_Arrest,false,false,true
-6,-1,Growth_Arrest,false,true,true
0,5,Growth_Arrest,false,true,false
-1,-6,Growth_Arrest,false,false,true
1,-6,Growth_Arrest,false,true,true
-2,5,Growth_Arrest,false,false,false
5,1,Growth_Arrest,false,true,true
-6,-2,Growth_Arrest,false,true,true
