# cell_size_um=20.0, domain_size_um=1500.0, description="3D spheroid pattern with 5000 cells"
x,y,z,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
37,37,37,Proliferation,true,false,true
36,37,37,Proliferation,true,true,true
37,36,37,Proliferation,true,false,false
37,37,36,Proliferation,true,false,true
37,37,38,Proliferation,true,true,true
37,38,37,Proliferation,true,false,true
38,37,37,Proliferation,true,true,false
36,36,37,Proliferation,true,false,false
36,37,36,Proliferation,true,false,true
36,37,38,Proliferation,true,false,false
36,38,37,Proliferation,true,true,false
37,36,36,Proliferation,true,false,false
37,36,38,Proliferation,true,false,true
37,38,36,Proliferation,true,false,true
37,38,38,Proliferation,true,true,false
38,36,37,Proliferation,true,true,false
38,37,36,Proliferation,true,false,true
38,37,38,Proliferation,true,true,true
38,38,37,Proliferation,true,false,false
36,36,36,Proliferation,true,true,false
36,36,38,Proliferation,true,false,false
36,38,36,Proliferation,true,false,true
36,38,38,Proliferation,true,false,true
38,36,36,Proliferation,true,false,true
38,36,38,Proliferation,true,true,false
38,38,36,Proliferation,true,true,true
38,38,38,Proliferation,true,true,true
35,37,37,Proliferation,true,true,true
37,35,37,Proliferation,true,false,false
37,37,35,Proliferation,true,false,false
37,37,39,Growth_Arrest,false,false,false
37,39,37,Growth_Arrest,false,true,false
39,37,37,Growth_Arrest,false,false,true
35,36,37,Growth_Arrest,false,false,true
35,37,36,Growth_Arrest,false,false,true
35,37,38,Growth_Arrest,false,true,false
35,38,37,Growth_Arrest,false,false,true
36,35,37,Growth_Arrest,false,true,true
36,37,35,Growth_Arrest,false,true,false
36,37,39,Growth_Arrest,false,false,false
36,39,37,Growth_Arrest,false,true,true
37,35,36,Growth_Arrest,false,false,false
37,35,38,Growth_Arrest,false,false,false
37,36,35,Growth_Arrest,false,true,true
37,36,39,Growth_Arrest,false,true,false
37,38,35,Growth_Arrest,false,false,true
37,38,39,Growth_Arrest,false,true,true
37,39,36,Growth_Arrest,false,true,false
37,39,38,Growth_Arrest,false,true,false
38,35,37,Growth_Arrest,false,false,false
38,37,35,Growth_Arrest,false,false,true
38,37,39,Growth_Arrest,false,false,true
38,39,37,Growth_Arrest,false,true,false
39,36,37,Growth_Arrest,false,false,true
39,37,36,Growth_Arrest,false,false,false
39,37,38,Growth_Arrest,false,false,false
39,38,37,Growth_Arrest,false,true,true
35,36,36,Growth_Arrest,false,true,true
35,36,38,Growth_Arrest,false,true,false
35,38,36,Growth_Arrest,false,true,true
35,38,38,Growth_Arrest,false,true,true
36,35,36,Growth_Arrest,false,false,false
36,35,38,Growth_Arrest,false,false,false
36,36,35,Growth_Arrest,false,true,true
36,36,39,Growth_Arrest,false,false,true
36,38,35,Growth_Arrest,false,false,false
36,38,39,Growth_Arrest,false,false,false
36,39,36,Growth_Arrest,false,true,false
36,39,38,Growth_Arrest,false,true,true
38,35,36,Growth_Arrest,false,false,true
38,35,38,Growth_Arrest,false,true,false
38,36,35,Growth_Arrest,false,false,false
38,36,39,Growth_Arrest,false,false,false
38,38,35,Growth_Arrest,false,true,true
38,38,39,Growth_Arrest,false,false,false
38,39,36,Growth_Arrest,false,true,false
38,39,38,Growth_Arrest,false,false,false
39,36,36,Growth_Arrest,false,true,false
39,36,38,Growth_Arrest,false,true,true
39,38,36,Growth_Arrest,false,false,true
39,38,38,Growth_Arrest,false,false,true
35,35,37,Growth_Arrest,false,true,true
35,37,35,Growth_Arrest,false,false,true
35,37,39,Growth_Arrest,false,false,false
35,39,37,Growth_Arrest,false,false,true
37,35,35,Growth_Arrest,false,true,false
37,35,39,Growth_Arrest,false,true,false
37,39,35,Growth_Arrest,false,true,false
37,39,39,Growth_Arrest,false,true,false
39,35,37,Growth_Arrest,false,true,false
39,37,35,Growth_Arrest,false,false,false
39,37,39,Growth_Arrest,false,true,true
39,39,37,Growth_Arrest,false,false,true
34,37,37,Growth_Arrest,false,true,true
35,35,36,Growth_Arrest,false,true,false
35,35,38,Growth_Arrest,false,false,true
35,36,35,Growth_Arrest,false,true,true
35,36,39,Growth_Arrest,false,false,false
35,38,35,Growth_Arrest,false,true,true
35,38,39,Growth_Arrest,false,true,true
35,39,36,Growth_Arrest,false,true,false
35,39,38,Growth_Arrest,false,false,true
36,35,35,Growth_Arrest,false,true,false
36,35,39,Growth_Arrest,false,false,true
