# origin=center, cell_size_um=20.0, domain_size_um=1500.0, description="Same 500-cell spheroid positions as initial_cells_500_center_1500.csv, every cell Quiescent with glycoATP ON and mitoATP OFF (stability search start state; Growth_Arrest would halve consumption in the metabolism node)"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
0,0,Quiescent,false,true,false
-1,0,Quiescent,false,true,false
0,-1,Quiescent,false,true,false
0,1,Quiescent,false,true,false
1,0,Quiescent,false,true,false
-1,-1,Quiescent,false,true,false
-1,1,Quiescent,false,true,false
1,-1,Quiescent,false,true,false
1,1,Quiescent,false,true,false
-2,0,Quiescent,false,true,false
0,-2,Quiescent,false,true,false
0,2,Quiescent,false,true,false
2,0,Quiescent,false,true,false
-2,-1,Quiescent,false,true,false
-2,1,Quiescent,false,true,false
-1,-2,Quiescent,false,true,false
-1,2,Quiescent,false,true,false
1,-2,Quiescent,false,true,false
1,2,Quiescent,false,true,false
2,-1,Quiescent,false,true,false
2,1,Quiescent,false,true,false
-2,-2,Quiescent,false,true,false
-2,2,Quiescent,false,true,false
2,-2,Quiescent,false,true,false
2,2,Quiescent,false,true,false
-3,0,Quiescent,false,true,false
0,-3,Quiescent,false,true,false
0,3,Quiescent,false,true,false
3,0,Quiescent,false,true,false
-3,-1,Quiescent,false,true,false
-3,1,Quiescent,false,true,false
-1,-3,Quiescent,false,true,false
-1,3,Quiescent,false,true,false
1,-3,Quiescent,false,true,false
1,3,Quiescent,false,true,false
3,-1,Quiescent,false,true,false
3,1,Quiescent,false,true,false
-3,-2,Quiescent,false,true,false
-3,2,Quiescent,false,true,false
-2,-3,Quiescent,false,true,false
-2,3,Quiescent,false,true,false
2,-3,Quiescent,false,true,false
2,3,Quiescent,false,true,false
3,-2,Quiescent,false,true,false
3,2,Quiescent,false,true,false
-4,0,Quiescent,false,true,false
0,-4,Quiescent,false,true,false
0,4,Quiescent,false,true,false
4,0,Quiescent,false,true,false
-4,-1,Quiescent,false,true,false
-4,1,Quiescent,false,true,false
-1,-4,Quiescent,false,true,false
-1,4,Quiescent,false,true,false
1,-4,Quiescent,false,true,false
1,4,Quiescent,false,true,false
4,-1,Quiescent,false,true,false
4,1,Quiescent,false,true,false
-3,-3,Quiescent,false,true,false
-3,3,Quiescent,false,true,false
3,-3,Quiescent,false,true,false
3,3,Quiescent,false,true,false
-4,-2,Quiescent,false,true,false
-4,2,Quiescent,false,true,false
-2,-4,Quiescent,false,true,false
-2,4,Quiescent,false,true,false
2,-4,Quiescent,false,true,false
2,4,Quiescent,false,true,false
4,-2,Quiescent,false,true,false
4,2,Quiescent,false,true,false
-5,0,Quiescent,false,true,false
-4,-3,Quiescent,false,true,false
-4,3,Quiescent,false,true,false
-3,-4,Quiescent,false,true,false
-3,4,Quiescent,false,true,false
0,-5,Quiescent,false,true,false
0,5,Quiescent,false,true,false
3,-4,Quiescent,false,true,false
3,4,Quiescent,false,true,false
4,-3,Quiescent,false,true,false
4,3,Quiescent,false,true,false
5,0,Quiescent,false,true,false
-5,-1,Quiescent,false,true,false
-5,1,Quiescent,false,true,false
-1,-5,Quiescent,false,true,false
-1,5,Quiescent,false,true,false
1,-5,Quiescent,false,true,false
1,5,Quiescent,false,true,false
5,-1,Quiescent,false,true,false
5,1,Quiescent,false,true,false
-5,-2,Quiescent,false,true,false
-5,2,Quiescent,false,true,false
-2,-5,Quiescent,false,true,false
-2,5,Quiescent,false,true,false
2,-5,Quiescent,false,true,false
2,5,Quiescent,false,true,false
5,-2,Quiescent,false,true,false
5,2,Quiescent,false,true,false
-4,-4,Quiescent,false,true,false
-4,4,Quiescent,false,true,false
4,-4,Quiescent,false,true,false
4,4,Quiescent,false,true,false
-5,-3,Quiescent,false,true,false
-5,3,Quiescent,false,true,false
-3,-5,Quiescent,false,true,false
-3,5,Quiescent,false,true,false
3,-5,Quiescent,false,true,false
3,5,Quiescent,false,true,false
5,-3,Quiescent,false,true,false
5,3,Quiescent,false,true,false
-6,0,Quiescent,false,true,false
0,-6,Quiescent,false,true,false
0,6,Quiescent,false,true,false
6,0,Quiescent,false,true,false
-6,-1,Quiescent,false,true,false
-6,1,Quiescent,false,true,false
-1,-6,Quiescent,false,true,false
-1,6,Quiescent,false,true,false
1,-6,Quiescent,false,true,false
1,6,Quiescent,false,true,false
6,-1,Quiescent,false,true,false
6,1,Quiescent,false,true,false
-6,-2,Quiescent,false,true,false
-6,2,Quiescent,false,true,false
-2,-6,Quiescent,false,true,false
-2,6,Quiescent,false,true,false
2,-6,Quiescent,false,true,false
2,6,Quiescent,false,true,false
6,-2,Quiescent,false,true,false
6,2,Quiescent,false,true,false
-5,-4,Quiescent,false,true,false
-5,4,Quiescent,false,true,false
-4,-5,Quiescent,false,true,false
-4,5,Quiescent,false,true,false
4,-5,Quiescent,false,true,false
4,5,Quiescent,false,true,false
5,-4,Quiescent,false,true,false
5,4,Quiescent,false,true,false
-6,-3,Quiescent,false,true,false
-6,3,Quiescent,false,true,false
-3,-6,Quiescent,false,true,false
-3,6,Quiescent,false,true,false
3,-6,Quiescent,false,true,false
3,6,Quiescent,false,true,false
6,-3,Quiescent,false,true,false
6,3,Quiescent,false,true,false
-7,0,Quiescent,false,true,false
0,-7,Quiescent,false,true,false
0,7,Quiescent,false,true,false
7,0,Quiescent,false,true,false
-7,-1,Quiescent,false,true,false
-7,1,Quiescent,false,true,false
-5,-5,Quiescent,false,true,false
-5,5,Quiescent,false,true,false
-1,-7,Quiescent,false,true,false
-1,7,Quiescent,false,true,false
1,-7,Quiescent,false,true,false
1,7,Quiescent,false,true,false
5,-5,Quiescent,false,true,false
5,5,Quiescent,false,true,false
7,-1,Quiescent,false,true,false
7,1,Quiescent,false,true,false
-6,-4,Quiescent,false,true,false
-6,4,Quiescent,false,true,false
-4,-6,Quiescent,false,true,false
-4,6,Quiescent,false,true,false
4,-6,Quiescent,false,true,false
4,6,Quiescent,false,true,false
6,-4,Quiescent,false,true,false
6,4,Quiescent,false,true,false
-7,-2,Quiescent,false,true,false
-7,2,Quiescent,false,true,false
-2,-7,Quiescent,false,true,false
-2,7,Quiescent,false,true,false
2,-7,Quiescent,false,true,false
