# cell_size_um=20.0, domain_size_um=3000.0, description="Spheroid pattern with 7000 cells"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
112,56,Proliferation,true,true,true
110,101,Proliferation,true,true,false
86,33,Growth_Arrest,false,false,false
48,76,Growth_Arrest,false,false,false
109,66,Proliferation,true,false,false
51,115,Proliferation,true,false,false
91,110,Proliferation,true,true,true
82,108,Proliferation,true,true,true
74,118,Proliferation,true,true,false
105,64,Proliferation,true,true,true
82,111,Growth_Arrest,false,true,false
32,92,Growth_Arrest,false,false,false
99,114,Growth_Arrest,false,false,false
45,48,Growth_Arrest,false,true,false
48,45,Growth_Arrest,false,true,true
112,74,Proliferation,true,true,true
69,49,Growth_Arrest,false,true,true
49,72,Growth_Arrest,false,false,true
101,100,Growth_Arrest,false,false,false
116,91,Growth_Arrest,false,false,false
98,56,Growth_Arrest,false,false,false
72,33,Proliferation,true,false,false
58,51,Proliferation,true,true,false
89,48,Proliferation,true,true,true
59,116,Proliferation,true,false,false
69,41,Proliferation,true,false,false
105,54,Proliferation,true,false,true
91,68,Growth_Arrest,false,false,true
99,45,Proliferation,true,true,true
82,56,Growth_Arrest,false,true,false
95,38,Proliferation,true,false,false
119,67,Proliferation,true,false,false
34,87,Growth_Arrest,false,false,false
107,102,Proliferation,true,true,true
38,95,Proliferation,true,false,false
56,59,Proliferation,true,false,true
73,49,Growth_Arrest,false,false,true
76,43,Proliferation,true,true,false
35,75,Growth_Arrest,false,true,false
55,114,Proliferation,true,true,true
64,66,Proliferation,true,false,true
58,56,Proliferation,true,false,false
87,117,Proliferation,true,false,false
38,92,Proliferation,true,true,true
116,53,Growth_Arrest,false,true,true
77,35,Proliferation,true,false,false
37,96,Growth_Arrest,false,true,false
71,89,Growth_Arrest,false,false,true
58,95,Proliferation,true,false,false
106,105,Growth_Arrest,false,true,true
96,81,Proliferation,true,true,false
39,89,Growth_Arrest,false,false,true
81,90,Proliferation,true,false,false
32,93,Proliferation,true,true,true
119,65,Proliferation,true,true,true
33,79,Proliferation,true,false,false
100,93,Proliferation,true,false,false
110,75,Growth_Arrest,false,false,false
73,45,Proliferation,true,false,true
86,107,Growth_Arrest,false,true,false
69,108,Proliferation,true,false,false
58,109,Growth_Arrest,false,true,false
106,99,Growth_Arrest,false,false,false
113,81,Proliferation,true,false,false
114,84,Growth_Arrest,false,false,true
47,104,Proliferation,true,true,false
40,64,Growth_Arrest,false,false,true
44,110,Proliferation,true,true,false
77,73,Proliferation,true,true,false
83,97,Proliferation,true,true,true
70,37,Proliferation,true,true,true
71,87,Growth_Arrest,false,true,true
86,106,Growth_Arrest,false,true,false
39,77,Proliferation,true,false,true
93,96,Proliferation,true,false,false
73,63,Proliferation,true,true,false
87,35,Proliferation,true,true,true
56,111,Growth_Arrest,false,true,true
87,72,Proliferation,true,true,false
47,103,Growth_Arrest,false,true,false
69,56,Proliferation,true,false,false
72,86,Growth_Arrest,false,true,true
63,50,Growth_Arrest,false,true,true
61,87,Growth_Arrest,false,true,false
94,86,Growth_Arrest,false,true,true
47,44,Proliferation,true,true,true
101,40,Proliferation,true,true,false
53,116,Proliferation,true,true,true
45,78,Proliferation,true,false,false
74,85,Proliferation,true,true,false
51,108,Proliferation,true,false,false
68,83,Proliferation,true,false,true
49,113,Proliferation,true,false,true
115,52,Proliferation,true,false,true
75,75,Growth_Arrest,false,true,false
31,81,Growth_Arrest,false,false,false
58,72,Proliferation,true,true,true
64,81,Growth_Arrest,false,true,false
75,105,Proliferation,true,true,false
84,32,Growth_Arrest,false,false,false
97,82,Proliferation,true,true,false
55,36,Proliferation,true,false,false
90,83,Proliferation,true,false,true
55,59,Proliferation,true,true,false
62,86,Proliferation,true,true,true
111,88,Growth_Arrest,false,false,false
73,93,Growth_Arrest,false,true,false
85,43,Growth_Arrest,false,false,false
97,41,Proliferation,true,true,false
45,46,Proliferation,true,false,false
100,108,Proliferation,true,true,false
95,57,Growth_Arrest,false,false,false
55,51,Proliferation,true,false,true
55,52,Growth_Arrest,false,true,false
61,78,Growth_Arrest,false,false,false
38,51,Proliferation,true,false,false
45,101,Proliferation,true,true,true
74,41,Proliferation,true,true,false
98,90,Proliferation,true,false,false
88,82,Proliferation,true,true,true
116,93,Proliferation,true,true,true
38,59,Growth_Arrest,false,true,true
60,74,Proliferation,true,true,true
69,35,Proliferation,true,true,true
102,62,Proliferation,true,true,true
33,74,Growth_Arrest,false,true,false
65,41,Growth_Arrest,false,false,true
110,91,Proliferation,true,true,true
111,60,Growth_Arrest,false,true,true
69,64,Proliferation,true,true,true
90,44,Proliferation,true,true,false
89,90,Proliferation,true,true,false
95,48,Proliferation,true,false,false
43,101,Proliferation,true,false,true
66,33,Growth_Arrest,false,false,false
43,67,Proliferation,true,false,false
42,43,Proliferation,true,true,false
112,48,Proliferation,true,false,true
94,63,Proliferation,true,true,true
102,97,Proliferation,true,false,true
102,64,Proliferation,true,false,false
93,117,Proliferation,true,true,false
56,33,Growth_Arrest,false,true,true
91,115,Proliferation,true,true,false
67,101,Proliferation,true,true,true
40,99,Growth_Arrest,false,true,false
106,93,Growth_Arrest,false,false,true
48,41,Proliferation,true,false,false
95,61,Growth_Arrest,false,false,false
91,83,Proliferation,true,true,true
55,105,Proliferation,true,true,false
86,63,Proliferation,true,false,true
73,61,Proliferation,true,false,true
115,61,Proliferation,true,false,false
98,79,Growth_Arrest,false,false,true
106,45,Growth_Arrest,false,true,false
92,58,Growth_Arrest,false,true,false
85,119,Proliferation,true,false,false
56,87,Proliferation,true,true,true
56,100,Proliferation,true,false,true
77,37,Proliferation,true,false,true
77,90,Proliferation,true,false,false
72,40,Proliferation,true,false,true
70,76,Growth_Arrest,false,false,false
76,32,Growth_Arrest,false,false,true
32,72,Proliferation,true,false,true
