Name	Init.	BC	Dif.Coef.	Consumption	Production
FGF	0.0e-6	0.0e-6	2.2e-10 	2.0e-18		0.0e-21
EGFRD	0.0e-3	0.0e-3	2.2e-10 	4.0e-17		0.0
FGFRD	0.0e-3	0.0e-3	2.2e-10 	4.0e-17		0.0
TGFA	0.000	0.000	5.18e-11	2.0e-17		2.0e-20
Oxygen	0.07	0.07	1.0e-9		3.0e-17		0.00
Glucose	5.00	5.00	6.70e-11	3.0e-15		0.00
GI	0.000	0.000	5.18e-11	2.0e-17		0.0e-20
HGF	2.0e-6	2.0e-6	8.50e-11 	2.0e-18		0.0e-21
cMETD	0.0e-3	0.0e-3	2.2e-10 	4.0e-17		0.0
H	4e-5	4e-5	1.0e-9		3.0e-15		2.0e-20
pH	7.4	7.4	1.0e-9		0.0		0.0
Lactate	5.00	1.00	6.70e-11	0.0e-15		3.0e-15
MCT1D	0.0e-6	0.0e-6	2.2e-10 	4.0e-17		0.0
GLUT1D	0.0e-6	0.0e-6	2.2e-10 	4.0e-17		0.0
