# cell_size_um=20.0, domain_size_um=1500.0, description="Spheroid pattern with 100 cells"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
36,37,Proliferation,true,false,true
37,36,Proliferation,true,true,true
37,37,Proliferation,true,false,false
37,38,Proliferation,true,false,true
38,37,Proliferation,true,true,true
35,37,Proliferation,true,false,true
36,36,Proliferation,true,true,false
36,37,Proliferation,true,false,false
36,38,Proliferation,true,false,true
37,35,Proliferation,true,false,false
37,36,Proliferation,true,true,false
37,37,Proliferation,true,false,false
37,38,Proliferation,true,false,true
37,39,Growth_Arrest,false,false,true
38,36,Proliferation,true,true,false
38,37,Proliferation,true,true,false
38,38,Proliferation,true,false,true
39,37,Growth_Arrest,false,true,true
34,37,Growth_Arrest,false,false,false
35,35,Growth_Arrest,false,true,false
35,36,Growth_Arrest,false,false,false
35,37,Proliferation,true,false,true
35,38,Growth_Arrest,false,false,true
35,39,Growth_Arrest,false,false,true
36,35,Growth_Arrest,false,true,false
36,36,Proliferation,true,true,true
36,37,Proliferation,true,true,true
36,38,Proliferation,true,true,true
36,39,Growth_Arrest,false,false,false
37,34,Growth_Arrest,false,false,false
37,35,Proliferation,true,false,false
37,36,Proliferation,true,true,false
37,37,Proliferation,true,false,true
37,38,Proliferation,true,false,true
37,39,Growth_Arrest,false,false,true
37,40,Growth_Arrest,false,true,false
38,35,Growth_Arrest,false,false,true
38,36,Proliferation,true,true,true
38,37,Proliferation,true,true,false
38,38,Proliferation,true,false,false
38,39,Growth_Arrest,false,true,true
39,35,Growth_Arrest,false,false,false
39,36,Growth_Arrest,false,false,false
39,37,Growth_Arrest,false,true,true
39,38,Growth_Arrest,false,true,false
39,39,Growth_Arrest,false,false,true
40,37,Growth_Arrest,false,true,true
33,37,Growth_Arrest,false,true,false
34,35,Growth_Arrest,false,true,false
34,36,Growth_Arrest,false,false,false
34,37,Growth_Arrest,false,false,true
34,38,Growth_Arrest,false,false,true
34,39,Growth_Arrest,false,true,false
35,34,Growth_Arrest,false,false,true
35,35,Growth_Arrest,false,false,false
35,36,Growth_Arrest,false,false,false
35,37,Proliferation,true,true,true
35,38,Growth_Arrest,false,true,true
35,39,Growth_Arrest,false,true,false
35,40,Growth_Arrest,false,true,true
36,34,Growth_Arrest,false,true,true
36,35,Growth_Arrest,false,false,false
36,36,Proliferation,true,false,false
36,37,Proliferation,true,true,true
36,38,Proliferation,true,false,true
36,39,Growth_Arrest,false,false,false
36,40,Growth_Arrest,false,false,false
37,33,Growth_Arrest,false,true,false
37,34,Growth_Arrest,false,true,true
37,35,Proliferation,true,false,true
37,36,Proliferation,true,true,false
37,37,Proliferation,true,false,false
37,38,Proliferation,true,false,false
37,39,Growth_Arrest,false,true,true
37,40,Growth_Arrest,false,false,false
37,41,Growth_Arrest,false,true,false
38,34,Growth_Arrest,false,false,false
38,35,Growth_Arrest,false,true,false
38,36,Proliferation,true,true,true
38,37,Proliferation,true,false,true
38,38,Proliferation,true,false,true
38,39,Growth_Arrest,false,true,true
38,40,Growth_Arrest,false,false,true
39,34,Growth_Arrest,false,false,false
39,35,Growth_Arrest,false,false,true
39,36,Growth_Arrest,false,true,false
39,37,Growth_Arrest,false,true,false
39,38,Growth_Arrest,false,true,false
39,39,Growth_Arrest,false,true,false
39,40,Growth_Arrest,false,true,false
40,35,Growth_Arrest,false,false,false
40,36,Growth_Arrest,false,true,true
40,37,Growth_Arrest,false,false,true
40,38,Growth_Arrest,false,true,true
40,39,Growth_Arrest,false,true,false
41,37,Growth_Arrest,false,false,true
32,37,Growth_Arrest,false,true,true
33,34,Growth_Arrest,false,false,false
33,35,Growth_Arrest,false,true,true
33,36,Growth_Arrest,false,true,true
