# cell_size_um=20.0, domain_size_um=500.0, description="100 cells in center of 500x500 domain (10x10 grid)"
x,y,phenotype
8,8,Quiescent
9,8,Quiescent
10,8,Quiescent
11,8,Quiescent
12,8,Quiescent
13,8,Quiescent
14,8,Quiescent
15,8,Quiescent
16,8,Quiescent
17,8,Quiescent
8,9,Quiescent
9,9,Quiescent
10,9,Quiescent
11,9,Quiescent
12,9,Quiescent
13,9,Quiescent
14,9,Quiescent
15,9,Quiescent
16,9,Quiescent
17,9,Quiescent
8,10,Quiescent
9,10,Quiescent
10,10,Quiescent
11,10,Quiescent
12,10,Quiescent
13,10,Quiescent
14,10,Quiescent
15,10,Quiescent
16,10,Quiescent
17,10,Quiescent
8,11,Quiescent
9,11,Quiescent
10,11,Quiescent
11,11,Quiescent
12,11,Quiescent
13,11,Quiescent
14,11,Quiescent
15,11,Quiescent
16,11,Quiescent
17,11,Quiescent
8,12,Quiescent
9,12,Quiescent
10,12,Quiescent
11,12,Quiescent
12,12,Quiescent
13,12,Quiescent
14,12,Quiescent
15,12,Quiescent
16,12,Quiescent
17,12,Quiescent
8,13,Quiescent
9,13,Quiescent
10,13,Quiescent
11,13,Quiescent
12,13,Quiescent
13,13,Quiescent
14,13,Quiescent
15,13,Quiescent
16,13,Quiescent
17,13,Quiescent
8,14,Quiescent
9,14,Quiescent
10,14,Quiescent
11,14,Quiescent
12,14,Quiescent
13,14,Quiescent
14,14,Quiescent
15,14,Quiescent
16,14,Quiescent
17,14,Quiescent
8,15,Quiescent
9,15,Quiescent
10,15,Quiescent
11,15,Quiescent
12,15,Quiescent
13,15,Quiescent
14,15,Quiescent
15,15,Quiescent
16,15,Quiescent
17,15,Quiescent
8,16,Quiescent
9,16,Quiescent
10,16,Quiescent
11,16,Quiescent
12,16,Quiescent
13,16,Quiescent
14,16,Quiescent
15,16,Quiescent
16,16,Quiescent
17,16,Quiescent
8,17,Quiescent
9,17,Quiescent
10,17,Quiescent
11,17,Quiescent
12,17,Quiescent
13,17,Quiescent
14,17,Quiescent
15,17,Quiescent
16,17,Quiescent
17,17,Quiescent

